corr_stocks,corr_oil,noisy_trader,przemek_trader,start_ind
0.7379283286109434, 0.8137612983624319, 600, 0, 0
0.6739592895055194, 0.8137612983624319, 550, 50, 0
0.3060983892422198, 0.8137612983624319, 500, 100, 0
0.3406092936723352, 0.8137612983624319, 450, 150, 0
0.37150013834428075, 0.8137612983624319, 400, 200, 0
0.3594248596313899, 0.8137612983624319, 350, 250, 0
0.5273207438762709, 0.8137612983624319, 300, 300, 0
0.10283574347975755, 0.375565156760121, 600, 0, 100
0.15287232648625826, 0.375565156760121, 550, 50, 100
0.17366505334425608, 0.375565156760121, 500, 100, 100
0.1350828988619906, 0.375565156760121, 450, 150, 100
0.188622783827246, 0.375565156760121, 400, 200, 100
0.1761977168665012, 0.375565156760121, 350, 250, 100
0.22946086903799437, 0.375565156760121, 300, 300, 100
0.8913177084924047, 0.3501674295632092, 600, 0, 200
0.733283628925629, 0.3501674295632092, 550, 50, 200
0.8825340769870611, 0.3501674295632092, 500, 100, 200
0.9510846357445172, 0.3501674295632092, 450, 150, 200
0.9425713382189502, 0.3501674295632092, 400, 200, 200
0.9497393551117747, 0.3501674295632092, 350, 250, 200
0.9704607816567584, 0.3501674295632092, 300, 300, 200
0.4368114877867315, 0.2039845601348102, 600, 0, 300
0.21887526563735862, 0.2039845601348102, 550, 50, 300
0.11403426177658847, 0.2039845601348102, 500, 100, 300
0.4085785339646446, 0.2039845601348102, 450, 150, 300
0.47964788920517964, 0.2039845601348102, 400, 200, 300
0.37612074715265376, 0.2039845601348102, 350, 250, 300
0.4858057219409145, 0.2039845601348102, 300, 300, 300
0.5443575082297337, 0.2763155474442364, 600, 0, 400
0.314399471242789, 0.2763155474442364, 550, 50, 400
0.6356140451883281, 0.2763155474442364, 500, 100, 400
0.5890232746063623, 0.2763155474442364, 450, 150, 400
0.3749619568498557, 0.2763155474442364, 400, 200, 400
0.35148685329424983, 0.2763155474442364, 350, 250, 400
0.3357397133233229, 0.2763155474442364, 300, 300, 400
0.30702882871923043, 0.05518972780450279, 600, 0, 500
0.350005604509231, 0.05518972780450279, 550, 50, 500
0.3496039195893629, 0.05518972780450279, 500, 100, 500
0.07538675839513036, 0.05518972780450279, 450, 150, 500
0.40271521699609303, 0.05518972780450279, 400, 200, 500
0.289267306855445, 0.05518972780450279, 350, 250, 500
0.016896699312369402, 0.05518972780450279, 300, 300, 500
0.09352338405761682, 0.27255961959882713, 600, 0, 600
0.2639540733544247, 0.27255961959882713, 550, 50, 600
0.12288435982785201, 0.27255961959882713, 500, 100, 600
0.2091860347437053, 0.27255961959882713, 450, 150, 600
0.17651041834795744, 0.27255961959882713, 400, 200, 600
0.2436268463580959, 0.27255961959882713, 350, 250, 600
0.3738338110195302, 0.27255961959882713, 300, 300, 600
0.6743497855154668, 0.6142950239724413, 600, 0, 700
0.6616826025284852, 0.6142950239724413, 550, 50, 700
0.6773380599947354, 0.6142950239724413, 500, 100, 700
0.5696597463382094, 0.6142950239724413, 450, 150, 700
0.424475757712796, 0.6142950239724413, 400, 200, 700
0.3605374545068766, 0.6142950239724413, 350, 250, 700
0.2527824378079526, 0.6142950239724413, 300, 300, 700
0.5072916559003448, 0.0030315506328453938, 600, 0, 800
0.15631830263011948, 0.0030315506328453938, 550, 50, 800
0.2569550735702589, 0.0030315506328453938, 500, 100, 800
0.1467242161674667, 0.0030315506328453938, 450, 150, 800
0.21525616840156847, 0.0030315506328453938, 400, 200, 800
0.20897748362026702, 0.0030315506328453938, 350, 250, 800
0.19073769875380514, 0.0030315506328453938, 300, 300, 800
0.5232503532332257, 0.09780635080719692, 600, 0, 900
0.14065292040710428, 0.09780635080719692, 550, 50, 900
0.05666802811760262, 0.09780635080719692, 500, 100, 900
0.5465878797970797, 0.09780635080719692, 450, 150, 900
0.9211711757894941, 0.09780635080719692, 400, 200, 900
0.7261844770524774, 0.09780635080719692, 350, 250, 900
0.8959232436310937, 0.09780635080719692, 300, 300, 900
0.416184075356415, 0.2971730644846072, 600, 0, 1000
0.26447207625447333, 0.2971730644846072, 550, 50, 1000
0.2240206649771551, 0.2971730644846072, 500, 100, 1000
0.26767893886345734, 0.2971730644846072, 450, 150, 1000
0.09099303904122552, 0.2971730644846072, 400, 200, 1000
0.3360223684281099, 0.2971730644846072, 350, 250, 1000
0.23494743320796183, 0.2971730644846072, 300, 300, 1000
0.8717473846942014, 0.4288857505394955, 600, 0, 1100
0.7090162974811652, 0.4288857505394955, 550, 50, 1100
0.7842162742125676, 0.4288857505394955, 500, 100, 1100
0.8055404637999296, 0.4288857505394955, 450, 150, 1100
0.8226906492043354, 0.4288857505394955, 400, 200, 1100
0.8619430987304297, 0.4288857505394955, 350, 250, 1100
0.8575076909064463, 0.4288857505394955, 300, 300, 1100
0.3224148067982539, 0.06374416437549653, 600, 0, 1200
0.3037202837293713, 0.06374416437549653, 550, 50, 1200
0.36106900166837497, 0.06374416437549653, 500, 100, 1200
0.31570030523768505, 0.06374416437549653, 450, 150, 1200
0.08294083352167084, 0.06374416437549653, 400, 200, 1200
0.36160069393613764, 0.06374416437549653, 350, 250, 1200
0.26870311450907364, 0.06374416437549653, 300, 300, 1200
0.8534504722997422, 0.15781933567712167, 600, 0, 1300
0.8527471549047407, 0.15781933567712167, 550, 50, 1300
0.4197931855922682, 0.15781933567712167, 500, 100, 1300
0.4421214661797409, 0.15781933567712167, 450, 150, 1300
0.5616691339657818, 0.15781933567712167, 400, 200, 1300
0.4346555109886749, 0.15781933567712167, 350, 250, 1300
0.661599127237485, 0.15781933567712167, 300, 300, 1300
0.6763979731763083, 0.607030153439486, 600, 0, 1400
0.5783770221498784, 0.607030153439486, 550, 50, 1400
0.024734899403493948, 0.607030153439486, 500, 100, 1400
0.28181287370693775, 0.607030153439486, 450, 150, 1400
0.5448310865454876, 0.607030153439486, 400, 200, 1400
0.3017039398538831, 0.607030153439486, 350, 250, 1400
0.6003549169432831, 0.607030153439486, 300, 300, 1400
0.6101483492573712, 0.2110749785344782, 600, 0, 1500
0.584148183121357, 0.2110749785344782, 550, 50, 1500
0.7221337035430799, 0.2110749785344782, 500, 100, 1500
0.6992120637981009, 0.2110749785344782, 450, 150, 1500
0.7667524276201737, 0.2110749785344782, 400, 200, 1500
0.7672320624542976, 0.2110749785344782, 350, 250, 1500
0.8229154879914451, 0.2110749785344782, 300, 300, 1500
0.1414115845811195, 0.8718979413957014, 600, 0, 1600
0.8372134817103914, 0.8718979413957014, 550, 50, 1600
0.8023071987198745, 0.8718979413957014, 500, 100, 1600
0.8292031416581332, 0.8718979413957014, 450, 150, 1600
0.8390808581977779, 0.8718979413957014, 400, 200, 1600
0.8195005895655147, 0.8718979413957014, 350, 250, 1600
0.7192160854041548, 0.8718979413957014, 300, 300, 1600
0.5264901531074119, 0.5647300260730208, 600, 0, 1700
0.5106948193969374, 0.5647300260730208, 550, 50, 1700
0.5559195062229769, 0.5647300260730208, 500, 100, 1700
0.5713150410385152, 0.5647300260730208, 450, 150, 1700
0.5635754915294272, 0.5647300260730208, 400, 200, 1700
0.554148639237383, 0.5647300260730208, 350, 250, 1700
0.5581958662859066, 0.5647300260730208, 300, 300, 1700
0.7854375418608521, 0.49138000132300735, 600, 0, 1800
0.6434935853229367, 0.49138000132300735, 550, 50, 1800
0.7770646288605837, 0.49138000132300735, 500, 100, 1800
0.8470747694418092, 0.49138000132300735, 450, 150, 1800
0.8313021235003398, 0.49138000132300735, 400, 200, 1800
0.8153655993105821, 0.49138000132300735, 350, 250, 1800
0.8442443371022625, 0.49138000132300735, 300, 300, 1800
0.29363272755069747, 0.6888510072746676, 600, 0, 1900
0.9129406273774429, 0.6888510072746676, 550, 50, 1900
0.8284679311209096, 0.6888510072746676, 500, 100, 1900
0.9315357108242641, 0.6888510072746676, 450, 150, 1900
0.8862912253301025, 0.6888510072746676, 400, 200, 1900
0.8791893592624753, 0.6888510072746676, 350, 250, 1900
0.9039254738865543, 0.6888510072746676, 300, 300, 1900
0.0037450359910952704, 0.3019508126907703, 600, 0, 2000
0.5337769390969852, 0.3019508126907703, 550, 50, 2000
0.428684173200331, 0.3019508126907703, 500, 100, 2000
0.2981675513825494, 0.3019508126907703, 450, 150, 2000
0.360973378380139, 0.3019508126907703, 400, 200, 2000
0.34132027520792285, 0.3019508126907703, 350, 250, 2000
0.4144157282492768, 0.3019508126907703, 300, 300, 2000
0.6807760164199713, 0.7389826584632245, 600, 0, 2100
0.15032623395058656, 0.7389826584632245, 550, 50, 2100
0.11056315115002098, 0.7389826584632245, 500, 100, 2100
0.06567658885620058, 0.7389826584632245, 450, 150, 2100
0.14852147571912888, 0.7389826584632245, 400, 200, 2100
0.038369040505173015, 0.7389826584632245, 350, 250, 2100
0.04628415171563255, 0.7389826584632245, 300, 300, 2100
0.40883783292120635, 0.143890893358712, 600, 0, 2200
0.9480048758900201, 0.143890893358712, 550, 50, 2200
0.9473488376436491, 0.143890893358712, 500, 100, 2200
0.9402209984875934, 0.143890893358712, 450, 150, 2200
0.9426547460931733, 0.143890893358712, 400, 200, 2200
0.9426318088617059, 0.143890893358712, 350, 250, 2200
0.9434918691447053, 0.143890893358712, 300, 300, 2200
0.47054935609468534, 0.3759568341185785, 600, 0, 2300
0.8377011615906305, 0.3759568341185785, 550, 50, 2300
0.8276109364519719, 0.3759568341185785, 500, 100, 2300
0.8083238604525335, 0.3759568341185785, 450, 150, 2300
0.8299641668414124, 0.3759568341185785, 400, 200, 2300
0.8437996711512484, 0.3759568341185785, 350, 250, 2300
0.855809730672494, 0.3759568341185785, 300, 300, 2300
0.3008794798200447, 0.2773900743630438, 600, 0, 2400
0.6951254463587652, 0.2773900743630438, 550, 50, 2400
0.6932742494860308, 0.2773900743630438, 500, 100, 2400
0.6946035044510287, 0.2773900743630438, 450, 150, 2400
0.6960098225209815, 0.2773900743630438, 400, 200, 2400
0.6991065276423067, 0.2773900743630438, 350, 250, 2400
0.6977817434020696, 0.2773900743630438, 300, 300, 2400
